BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","BARTLE2019297","Bartle, Caroline; Chatterjee, Kiron","Employer perceptions of the business benefits of sustainable transport: A case study of peri-urban employment areas in South West England","Transportation Research Part A: Policy and Practice",126,,"","297 - 313",2019,"","","http://www.sciencedirect.com/science/article/pii/S0965856418305202","","","","","","","","","","","","","There is considerable interest in the contribution that workplace-based mobility management interventions can make to achieving more sustainable mobility patterns. A number of studies have evaluated the impacts of workplace-based interventions on the commuting behaviour of staff, but the broader potential of such initiatives depends on the willingness of employers to support them. Little research has been carried out examining the perspectives of senior managers. The research which has been conducted has focused on employers located in urban or rural areas. This paper reports on in-depth interviews with senior managers of employers located in two peri-urban areas on the edge of the city of Bristol, south-west England. The research was carried out during a period when public funding was available to support the introduction of sustainable transport measures. The interviews aimed to find out whether senior managers perceived the promotion of sustainable transport as relevant to their business concerns, and how this varied between different types of organisation. The results showed that all managers believed that measures to increase the use of alternative modes for commuting and local business travel could be beneficial for their business, even if these benefits were indirect and difficult to quantify. The perceived benefits of sustainable transport included: helping to ease traffic congestion on the road network, thereby reducing associated delays and stress; helping employers manage excessive demand for car parking; improving staff wellbeing; and widening the recruitment opportunities among workers lacking access to a private car. Employers who perceived the greatest benefits were also the most willing to engage with public authorities in introducing new workplace-based mobility measures. The findings on employer support for mobility management are relevant not only to peri-urban areas but also to employment sites within other areas (in particular suburban areas and the rural hinterland) where the same challenges may apply of encouraging alternatives to single occupancy car use without the means to invest in comprehensive public transport.","","Sustainable transport, Mobility management, Employers, Commuting, Workplace Travel Plans","",""
7,"","BURGDORF201892","Burgdorf, Christian; Eisenkopf, Alexander","Effects of road tolls for intercity buses on travel activities and the choice of means of transport in German long-distance passenger transport","Research in Transportation Economics",72,,"","92 - 105",2018,"","Long-distance passenger transport market","http://www.sciencedirect.com/science/article/pii/S0739885917303426","","","","","","","","","","","","","In our study, we used a system dynamics model to analyze how distance-related road tolls for intercity bus services (Fernlinienbusverkehr) would affect the choice of means of transport and the travel activities of long-distance passenger transport users in Germany. In particular, we have analyzed how the modal split will change with certain toll rates, whether rail transport can benefit from the increased burden on its intermodal competitor, or whether the car is the biggest beneficiary instead. In addition, we also examined other relevant aspects, such as the revenue development in the national intercity bus market. Our simulations show that the introduction of distance-related road tolls in intercity bus transport (if they are completely shifted to customers in the form of surcharges) will result in significant changes: Thus, at a toll rate of 0.6 ct/passenger kilometer the modal share of intercity buses (by passenger kilometers) in the German long-distance passenger transport sector will drop by about 12 percent to 2.44 percent in the year 2025. At 0.4 ct/passenger kilometer, the share drops by almost three percent. The railway sector is the main beneficiary, but the car can also gain shares.","","Intercity bus services, Road tolls, Choice of means of transport, System dynamics","",""
7,"","CANITEZ2019562","Canitez, Fatih; Çelebi, Dilay; Beyazit, Eda","Establishing a metropolitan transport authority in Istanbul: A new institutional economics framework for institutional change in urban transport","Case Studies on Transport Policy",7,3,"","562 - 573",2019,"","","http://www.sciencedirect.com/science/article/pii/S2213624X18303961","","","","","","","","","","","","","Rapid urban growth and resulting urban transport problems in developing cities trigger major transformative reform attempts. However, these attempts might fail due to ignoring the role of the institutional environment. Changing the governance structure from a fragmented governance structure to a centralized transport authority is such an institutional change that should take into account the surrounding institutional arrangements. In this paper, drawing from new institutional economics (NIE) literature, a new framework for institutional change in urban transport is proposed to guide those institutional initiatives. To materialize the theoretical considerations regarding this institutional change framework, attempts to establish a metropolitan transport authority (MTA) in Istanbul constitute the case study of this paper. Having a population of nearly 15 million people with radically increasing urban transport problems, city of Istanbul has considerable amount of the urban transport governance problems due to its fragmented and weak institutional setting. Based on the developed framework and lessons drawn from the Istanbul case, our results highlight the importance of examining the institutional environment of urban transport systems by identifying the institutional levels in institutional transformation initiatives.","","New institutional economics, Urban transport, Institutional change, Transport authorities, Governance, Istanbul","",""
7,"","CATOLA2020101886","Catola, Marco; D'Alessandro, Simone","Market competition, lobbying influence and environmental externalities","European Journal of Political Economy",63,,"","101886",2020,"","","http://www.sciencedirect.com/science/article/pii/S0176268020300343","","","","","","","","","","","","","In this paper, we contribute to the debate regarding the relationship between lobbying and environmental regulation by explicitly taking into account the role of market competition. We analyse how the number of firms affects both the effectiveness of lobbying in fighting environmental regulation and the individual incentive for firms to switch to green technology. To explore this issue, we present a Cournot oligopoly where firms can choose between abating the environmental externality or lobbying the government to hold a loose regulation. We investigate two alternative government's political objectives. In the first, government aims to only minimise the externality, while in the second, it also cares about the consumers surplus. We find that, in both cases, the higher the number of firms, the higher the incentive to abate. However, while in the first case, either both types of firms coexist or all firms switch to be green, in the other case, there exists a minimum the number of firms below which all firms remain polluting.","","Lobbying, Interest group, Regulation, Pollution","",""
7,"","EHEBRECHT2018242","Ehebrecht, Daniel; Heinrichs, Dirk; Lenz, Barbara","Motorcycle-taxis in sub-Saharan Africa: Current knowledge, implications for the debate on “informal” transport and research needs","Journal of Transport Geography",69,,"","242 - 256",2018,"","","http://www.sciencedirect.com/science/article/pii/S0966692317303344","","","","","","","","","","","","","In the countries of sub-Saharan Africa (SSA) population growth, urbanisation, and social change have resulted in rising and diversifying mobility needs of urban and rural populations alike. Moreover, this has stimulated the emergence of new modes of transport, for example the motorcycle-taxi (“moto-taxi”). While moto-taxis have been used for decades in some areas, they have seen massive growth in the past couple of years and they have expanded to other rural and urban areas in SSA. This has come with a number of benefits as regards securing public mobility and socio-economic effects. On the other hand, the growth of these often “informally” provided services has resulted in negative externalities, especially road safety issues. And this has fuelled public discussions on how to control and regulate these services. Within academia their growing importance has resulted in a significant number of empirical studies – including a large share of final theses/assignments – in the past five to ten years. These studies deliver valuable insights into different aspects of this transport mode. However, only few comprehensive overviews of moto-taxis and their service characteristics exist. This article aims to present a comprehensive summary of the role played by moto-taxi services in providing public transport options in SSA. Based on an extensive literature review it categorises and summarises insights into this transport mode that are covered by the reviewed studies. The topics include underlying factors of motorcycle-taxi growth, supply side and demand side aspects, service organisation, regulation, as well as safety, health and environmental impacts. As far as available insights allow, regional, as well as urban and rural service patterns are traced. On that basis, the article discusses implications for the debate on informal transport and identifies knowledge gaps that should be addressed by future research.","","Motorcycle-taxis, Informal transport, Public transport, Research needs, Sub-Saharan Africa, Literature review","",""
7,"","FRASZCZYK2019100379","Fraszczyk, Anna; Piip, Janene","A review of transport organisations for female professionals and their impacts on the transport sector workforce","Research in Transportation Business & Management",31,,"","100379",2019,"","Women, Employment and Transportation","http://www.sciencedirect.com/science/article/pii/S2210539519300616","","","","","","","","","","","","","The paper offers a review of various national and international organisations established to unite female transport professionals and to enhance their careers in the male-dominated rail environment. The organisations, representing both mode-specific (e.g. Women in Rail in the rail sector in the United Kingdom) as well as general transport and mobility groups (e.g. Women in Logistics & Transport at Chartered Institute of Logistics and Transport, international), are compared in terms of their: size, coverage and type of activities delivered (including mentoring, networking and other). In addition, female rail transport professionals participated in the research to better understand the challenges and opportunities faced at work, and the role of professional organisations, if any, in their careers. Finally, based on the analysis of data, recommendations are addressed to the rail sector's organisations as well as current and potential employees (male and female).","","Women, Transport, Rail organisations, Careers","",""
7,"","GOSSLING2018301","Gössling, Stefan; Cohen, Scott; Higham, James; Peeters, Paul; Eijgelaar, Eke","Desirable transport futures","Transportation Research Part D: Transport and Environment",61,,"","301 - 309",2018,"","","http://www.sciencedirect.com/science/article/pii/S1361920918300440","","","","","","","","","","","","","This overview article for the special issue on ‘Desirable Transport Futures’ sets out with a brief introduction of the current development of the global transport system, suggesting that it remains unclear whether transport systems are heading towards desirable change. This desirability is defined as a reduction in the system’s negative externalities, including accidents, congestion, pollutants and/or noise, while retaining its functionality. There is evidence that transport externalities continue to grow with an increasingly mobile and growing global population. Against this background, the article discusses what may constitute more desirable transport futures, as well as the barriers that have to be overcome to move towards such futures. The article concludes that transport governance will be essential to far-reaching change, and that greater focus has to be placed on individual and societal socio-psychological perspectives shaping mobility consumption. Nine papers contained in this special issue provide in-depth analyses of transport systems, as well as insight into how these may be changed in more systemic ways. A concluding research agenda is offered that outlines a number of innovative approaches researchers may pursue as part of further efforts to engender desirable transport futures.","","Barriers, Policy, Transport futures, Desirability, Systemic change","",""
7,"","HAMMES201940","Hammes, Johanna Jussila; Mandell, Svante","Local government co-financing of the central government's transport infrastructure investment","Economics of Transportation",18,,"","40 - 49",2019,"","","http://www.sciencedirect.com/science/article/pii/S221201221830056X","","","","","","","","","","","","","We study two districts’ voluntary co-financing of a centrally provided public good, e.g., transport infrastructure. Outcomes are compared to a surplus-maximizing level of public good provision. We show that both co-financing and lobbying raise the amount of public good provided. Co-financing and lobbying are substitutes. Co-financing (or co-financing combined with lobbying) raises the provision of the public good to a higher level than lobbying alone. Co-financing can thus reduce rent-seeking. Finally, we show that under uncertainty about district type (high or low benefit), co-financing combined with lobbying can be used to find and retain a separating equilibrium.","","Co-financing, Fiscal federalism, Lobbying, Rent-seeking, Separating equilibrium","",""
7,"","HIRSCHHORN2019178","Hirschhorn, Fabio; Paulsson, Alexander; Sørensen, Claus H.; Veeneman, Wijnand","Public transport regimes and mobility as a service: Governance approaches in Amsterdam, Birmingham, and Helsinki","Transportation Research Part A: Policy and Practice",130,,"","178 - 191",2019,"","","http://www.sciencedirect.com/science/article/pii/S0965856419300278","","","","","","","","","","","","","This paper examines governance responses to Mobility as a Service (MaaS). The analysis focuses on the interactions between public transport systems and MaaS developments in Amsterdam, Birmingham, and Helsinki. Case comparison is informed by the multilevel perspective on socio-technical transitions and literature on meta-governance of networks. Drawing on these frameworks and empirical findings, the paper identifies six governance approaches to MaaS across cases: analyser, architect, convener, experimenter, lawmaker, and provider. These basic models encompass strategies ranging from hands-on strong intervention to information collection efforts. Consistent with the transitions literature, these six approaches indicate that public transport regimes seek to control the apparent disruptive potential of MaaS by incrementally absorbing innovations; to this end, regime actors adopt governance responses that tend to reproduce existing institutionalised ways of doing and prevailing logics. Furthermore, the six approaches reveal intense interaction between regime and niche, suggesting that a niche-regime space might have emerged in the cases; actors travel and operate across niche, regime, and niche-regimes, mainly driven by concerns with market share and revenue streams in the mobility system.","","Public transport, Mobility as a Service (MaaS), Multilevel perspective (MLP), Governance theories, Meta-governance","",""
7,"","JENNINGS2020100117","Jennings, Gail","An exploration of policy knowledge-seeking on high-volume, low-carbon transport: findings from expert interviews in selected African and South-Asian countries","Transportation Research Interdisciplinary Perspectives",5,,"","100117",2020,"","","http://www.sciencedirect.com/science/article/pii/S2590198220300282","","","","","","","","","","","","","This paper shares one element of research undertaken for the UK Department for International Development's (DFID) Applied Research Programme on High Volume Transport (HVT)11See Appendix C for definition of High-Volume Low Carbon Transport in nine low-income countries (LICs) in Africa and South-Asia. The research was conducted under the Low Carbon Transport Theme. It examines policy knowledge-seeking among transport researchers and practitioners in a subgroup of nine Sub-Saharan African and South Asian countries; these experts are already convinced of the need for HVT measures and are seeking knowledge regarding successful policy-transfer in order to accelerate transport decarbonisation. The policies in the countries investigated in this study recognise the need to reduce transport emissions, but this is rarely the measure that drives mobility interventions. Meeting the Paris Agreement targets will depend on whether low carbon, sustainable transport is rapidly and broadly implemented. Interviews with key informants include questions relating to motivations for seeking policy knowledge; the key policy knowledge that interviewees seek in order to shift country priorities or accelerate low-carbon development; and how best to share and access appropriate and relevant knowledge. These questions are drawn from the policy-transfer theory and processes described in the literature. Findings from the interviews suggest that key informants are aware of the prevalence and impact of uncritical, unsuccessful policy transfer, given their experiences with new transport measures in their countries; this is a significant lesson-learned. The value of context-specific transport policy transfer rather than off-the-shelf solutions is recognised by key informants, and appropriate policy knowledge is actively sought. A research gap exists to document an evidence-base regarding the influences and mechanisms that lead to successful low-carbon transport transfer processes in low-income countries.","","Low-income countries, Low-carbon transport, Policy transfer, Knowledge transfer, Lessons learning, Capacity development, Best practice, Sub-Saharan Africa, South-Asia","",""
